Date,B1,B2,B3,B4,B5,B6,BB,LC,RH,PD,TMP,TMP2,TMP3
2020-08-14,3,24,29,42,47,13,5,4,88,2885,2020-08-14T22,,
2020-08-11,8,22,29,43,56,9,3,4,74,2893,2020-08-11T22,,
2020-08-07,4,44,53,64,70,3,3,3,74,2904,2020-08-07T22,,
2020-08-04,2,22,30,42,62,20,4,3,67,2891,2020-08-04T22,,
2020-07-31,12,35,46,48,69,23,3,2,72,2887,2020-07-31T22,,
2020-07-28,17,20,27,31,34,19,2,2,79,2895,2020-07-28T22,,
2020-07-24,8,33,39,54,58,17,5,1,69,2909,2020-07-24T22,,
2020-07-21,14,25,26,41,43,15,4,1,82,2902,2020-07-21T22,,
2020-07-17,12,13,21,46,57,21,4,4,63,2908,2020-07-17T22,,
2020-07-14,6,26,55,56,64,22,4,4,60,2896,2020-07-14T22,,
2020-07-10,10,15,20,49,53,22,5,3,72,2884,2020-07-10T22,,
2020-07-07,16,20,25,30,43,18,4,3,79,2891,2020-07-07T22,,
2020-07-03,20,40,44,45,50,24,4,2,61,2887,2020-07-03T22,,
2020-06-30,9,16,29,37,53,11,3,2,87,2887,2020-06-30T22,,
2020-06-26,19,33,37,56,57,6,5,1,68,2909,2020-06-26T22,,
2020-06-23,6,20,37,40,48,15,4,1,74,2885,2020-06-23T22,,
2020-06-19,11,34,36,52,66,7,2,4,62,2901,2020-06-19T22,,
2020-06-16,21,23,33,35,42,6,2,4,75,2907,2020-06-16T22,,
2020-06-12,9,14,57,67,70,2,5,3,62,2900,2020-06-12T22,,
2020-06-09,1,5,9,10,23,22,4,3,90,2892,2020-06-09T22,,
2020-06-05,32,35,37,47,55,22,2,3,87,2891,2020-06-05T22,,
2020-06-02,9,20,23,26,29,8,3,2,69,2903,2020-06-02T22,,
2020-05-29,10,13,32,41,51,3,4,2,84,2896,2020-05-29T22,,
2020-05-26,34,52,58,59,62,4,3,1,84,2894,2020-05-26T22,,
2020-05-22,8,10,20,44,46,18,5,1,84,2902,2020-05-22T22,,
2020-05-19,8,19,25,36,66,9,4,4,73,2876,2020-05-19T22,,
2020-05-15,11,17,32,33,46,25,3,4,63,2897,2020-05-15T22,,
2020-05-12,7,16,27,44,52,5,4,4,54,2912,2020-05-12T22,,
2020-05-08,5,20,22,61,70,4,5,3,77,2891,2020-05-08T22,,
2020-05-05,7,13,17,21,45,14,4,3,73,2881,2020-05-05T22,,
2020-05-01,28,30,31,35,66,14,3,2,53,2900,2020-05-01T22,,
2020-04-28,13,19,53,54,63,17,5,1,54,2892,2020-04-28T22,,
2020-04-24,1,27,32,60,67,18,3,1,81,2876,2020-04-24T22,,
2020-04-21,13,15,24,67,70,17,3,4,56,2890,2020-04-21T22,,
